№ в ГТИБД,Название,Класс,Кол-во комнат,Кол-во спальных мест,Адрес,Район,Телефоны,Факсы,Официальный сайт,Электронная почта,Примечания,Услуги,Координаты
18519,Порт на Суворовском,хостел,9,13,"Санкт-Петербург, 8-я Советская, д. 17-19, кв. 4",Центральный,89119228268.0,нет,нет,persefalb@yandex.ru,"Отопление
Санкт-Петербург — остановитесь в самом центре – Отличное расположение — посмотреть карту
В апартаментах «Порт на Суворовском», расположенных в 1,7 км от центра Санкт-Петербурга, к услугам гостей бесплатный Wi-Fi и кухня с микроволновой печью, холодильником и духовкой.

В окрестностях можно заняться пешим туризмом.

Расстояние от апартаментов до музея Анны Ахматова составляет 2,1 км, а до музея Фаберже — 2,6 км.",Бесплатный Wi-Fi Круглосуточная стойка регистрации Отопление Прачечная,"59.936589,30.373603"
18520,Fontanka River View Hostel Saint Pe,хостел,13,13,"Санкт-Петербург, наб. реки Фонтанки д. 51-53 кв. 24",Центральный,89673447374.0,нет,fontankaspb.com,fontanka.riverview@gmail.com,"FONTANKA RIVER VIEW HOSTEL SAINT PE — новый формат хостела в самом сердце Санкт-Петербурга. Лучшее соотношение цены и качества - уникальный хостел с уровнем комфорта гостиницы высокого класса. 

Вас ждут максимально комфортные номера, созданные с учетом самых взыскательных запросов путешественников. Здесь Вы найдете все, что нужно - тепло, уют, дружелюбную атмосферу и прекрасный вид на набережную!","Бесплатный Wi Fi, безлимитные чай и кофе, и, конечно же, достаточное количество розеток, где Вы можете разместиться со своим ноутбуком или телефоном.","59.9297,30.337392"
18521,Hi Loft Большая Морская 61,хостел,8,42,"Санкт-Петербург, улица Почтамтская, дом 16-18",Адмиралтейский,89315401854.0,нет,www.hiloft.ru,stepan.glukhov@gmail.com,СОВЕРШЕНСТВО ГОСТЕПРИИМСТВА,"КОМФОРТНЫЙ
НОМЕР
БЕСПЛАТНЫЙ
WI-FI
ЕЖЕДНЕВНАЯ
УБОРКА
ПЕРСОНАЛЬНЫЙ
СЕЙФ","59.931242,30.299573"
18522,ДОМ,хостел,18,62,"Санкт-Петербург, ул. Курская, д. 28/32, лит. Ж",Фрунзенский,88122444969.0,нет,нет,hostel.dom@mail.ru,"Здание, в котором расположился наш «Дом» было построено более 90 лет назад. Даже сейчас оно хранит в себе ту несравненную атмосферу Петербурга начала прошлого века. От прежних интерьеров в здании осталась просторная изогнутая лестница  в вестибюле, колонны у стойки ресепшен и высокие потолки с элементами лепнины.","Круглосуточный ресепшн
Уютный интерьер
Просторные и уютные кухни-гостиные оснащены: холодильниками, СВЧ-печами, электрочайниками и необходимой посудой. Поэтому вы всегда сможете с аппетитом по-домашнему перекусить.
Высокоскоростной беспроводной интернет
Wi-Fi на всей без исключения территории хостела, а так же возможность воспользоваться стационарным компьютером, который находится в холле первого этажа.
Множество хозяйственных мелочей
В вашем распоряжении стиральная машина, гладильная доска, утюг, швейный набор, фен. Эти атрибуты повседневной жизни помогут вам почувствовать себя опрятно и комфортно.
Парковка на 30 мест
Пандус","59.9112,30.354505"
18523,РиверСайд Мойка,хостел,14,48,"Санкт-Петербург, наб. реки Мойки, д. 40",Центральный,89117077700,нет,https://vk.com/rshostel,info@rshostel.com,"СЕТЬ МИНИ-ОТЕЛЕЙ
И АПАРТАМЕНТОВ
В ЦЕНТРЕ
САНКТ-ПЕТЕРБУРГА","Удобное бронирование

Хранение багажа

Бесплатный Wi-Fi

Удобная кухня со всем необходимым","59.937202,30.320396"
18524,РиверСайд Невский,хостел,44,94,"Санкт-Петербург, Невский пр., д. 22",,89117077700.0,нет,http://rshotels.ru/,info@rshostel.com,"СЕТЬ МИНИ-ОТЕЛЕЙ
И АПАРТАМЕНТОВ
В ЦЕНТРЕ
САНКТ-ПЕТЕРБУРГА","Удобное бронирование

Хранение багажа

Бесплатный Wi-Fi

Удобная кухня со всем необходимым","59.935944,30.324097"
18525,Сибирский остров,Хостел,20,140,"Санкт-Петербург, ул. Турбинная, д. 7",Кировский,89650857085.0,нет,нет,Garik-i@mail..ru,"Хостел ""Сибирский остров""",не указано,"59.895628,30.266802"
18526,Теремок,хостел,6,28,"17-я линия Васильевского острова, д. 42 лит. Е",Василеостровский,89213894709.0,нет,нет,kika_m.79@mail.ru,"Мини-гостиница «Терем'ОК на Васильевском» с бесплатным Wi-Fi на всей территории находится в Санкт-Петербурге в 900 метрах от стадиона «Петровский» и в 3 минутах ходьбы от станций метро «Василеостровская» и «Спортивная».

В распоряжении гостей номера с кроватью-чердаком, диваном, телевизором с плоским экраном, платяным шкафом и ванной комнатой. Фен предоставляется по запросу.",Семейные номера Номера для некурящих Отопление Прачечная,"59.941101,30.262625"
18527,УЮТ на Блохина 3,хостел,4,24,"191025, Санкт-Петербург, ул. Блохина, д.3, кв.58",Петроградский,88126120574.0,нет,https://vk.com/yutno.vsem,yutno.vsem@gmail.com,"УЮТ - предоставляет места для временного пребывания приезжим, рабочим, студентам и туристическим группам.","-аренда без посредников
-оформление необходимых регистраций;
-коммунальные платежи включены в цену;
-ежедневная уборка входит в стоимость аренды;
-круглосуточное дежурство
-администратора для поддержания порядка;
-имеется вся бытовая техника;
-нали","59.950839,30.304594"
18528,УЮТ на Каменноостровском 44В,хостел,4,18,"197022, Санкт-Петербург, Каменноостровский пр., д.44В, кв.14",Петроградский,88126120574.0,нет,https://vk.com/yutno.vsem,yutno.vsem@gmail.com,"УЮТ - предоставляет места для временного пребывания приезжим, рабочим, студентам и туристическим группам.","-аренда без посредников
-оформление необходимых регистраций;
-коммунальные платежи включены в цену;
-ежедневная уборка входит в стоимость аренды;
-круглосуточное дежурство
-администратора для поддержания порядка;
-имеется вся бытовая техника;
-нали","59.968912,30.308223"
18529,УЮТ на Марата 8,хостел,5,42,"Санкт-Петербург, Марата ул., д.8, кв.3",Центральный,88126120574.0,нет,https://vk.com/yutno.vsem,yutno.vsem@gmail.com,"УЮТ - предоставляет места для временного пребывания приезжим, рабочим, студентам и туристическим группам.","аренда без посредников
-оформление необходимых регистраций;
-коммунальные платежи включены в цену;
-ежедневная уборка входит в стоимость аренды;
-круглосуточное дежурство
-администратора для поддержания порядка;
-имеется вся бытовая техника;
-наличие ячеек для хранения важных вещей;
-бесплатный интернет;
-смена постельного белья;
-отсутствие залоговых платежей;","59.930201,30.355232"
18530,УЮТ на Невском 126,хостел,4,20,"Санкт-Петербург, Невский пр., д. 126/2, кв. 17",Центральный,88126120574.0,нет,https://vk.com/yutno.vsem,yutno.vsem@gmail.com,"УЮТ - предоставляет места для временного пребывания приезжим, рабочим, студентам и туристическим группам.","аренда без посредников
-оформление необходимых регистраций;
-коммунальные платежи включены в цену;
-ежедневная уборка входит в стоимость аренды;
-круглосуточное дежурство
-администратора для поддержания порядка;
-имеется вся бытовая техника;
-наличие ячеек для хранения важных вещей;
-бесплатный интернет;
-смена постельного белья;
-отсутствие залоговых платежей;","59.930908,30.365527"
18531,УЮТ на Садовой 22,хостел,6,26,"Санкт-Петербург, Садовая ул., д.22/2, кв.46, 47",Центральный,88126120574.0,нет,https://vk.com/yutno.vsem,yutno.vsem@gmail.com,"УЮТ - предоставляет места для временного пребывания приезжим, рабочим, студентам и туристическим группам.","аренда без посредников
-оформление необходимых регистраций;
-коммунальные платежи включены в цену;
-ежедневная уборка входит в стоимость аренды;
-круглосуточное дежурство
-администратора для поддержания порядка;
-имеется вся бытовая техника;
-наличие ячеек для хранения важных вещей;
-бесплатный интернет;
-смена постельного белья;
-отсутствие залоговых платежей;","59.933122,30.333538"
18532,УЮТ на Уральской 12,хостел,36,70,"Санкт-Петербург, ул. Уральская, д.12, корп. 5, лит.Д",Василеостровский,88126120574.0,нет,https://vk.com/yutno.vsem,yutno.vsem@gmail.com,"УЮТ - предоставляет места для временного пребывания приезжим, рабочим, студентам и туристическим группам.","аренда без посредников
-оформление необходимых регистраций;
-коммунальные платежи включены в цену;
-ежедневная уборка входит в стоимость аренды;
-круглосуточное дежурство
-администратора для поддержания порядка;
-имеется вся бытовая техника;
-наличие ячеек для хранения важных вещей;
-бесплатный интернет;
-смена постельного белья;
-отсутствие залоговых платежей;","59.953304,30.257397"
18533,ЯМСКАЯ СЛОБОДА,хостел,8,30,"Санкт-Петербург, Набережная Обводного Канала, д.55, лит. В",Центральный,89650611622.0,нет,нет,obvodnai-hotel@yandex.ru,Хостел Yamskaya Sloboda размещается по адресу набережная Обводного канала 55 В в Центральном районе Санкт-Петербурга на расстоянии 3.6 км от центра.,"доступ к быстрому интернету, трансфер от/до аэропорта, круглосуточная стойка регистрации, парковка для машин. Возможно проживание с домашними животными.","59.915296,30.358583"
18534,Artbox hotel/Артбокс отель,отель,9,20,"Санкт-Петербург, Дивенская ул., д. 5, лит. А, пом. 58-Н",Петроградский,89210112200.0,нет,нет,artboxhotel@mail.ru,"Один из лучших вариантов, выбранных нами в городе Санкт-Петербург.
Отель Artbox расположен в Петроградском районе Санкт-Петербурга, в 3,1 км от стадиона Петровский. К услугам гостей номера с кондиционером. В этой 2-звездочной мини-гостинице предоставляются услуги консьержа.",Бесплатный Wi-Fi Семейные номера Трансфер от/до аэропорта Номера для некурящих Круглосуточная стойка регистрации Отопление,"59.959868,30.320962"
18535,SalutV ООО Салют В,Комплекс апартаментов,191,191,"Санкт-Петербург, Пулковское шоссе, дом 14, литер Г, Д, Е",Московский,88122427647.0,нет,www.salut-rent.ru,info@salut-rent.ru,Апартаменты «Salut V» расположены в многофункциональном комплексе «SALUT!» престижного Московского района Санкт-Петербурга.,"Холодильник
Плита
Микроволновая печь
Стиральная машина
Утюг и гладильная доска
Фен
Постельные принадлежности
Столовая посуда
Столовые приборы
Вся необходимая кухонная утварь
Подключение к интернету (Wi-Fi)","59.831349,30.324456"
18536,"САЛЮТ ПЛЮС / ""Salut Plus""",отель,15,36,"Санкт-Петербург, Пулковское шоссе, д.14, литера Е (3,5 этажи)",Московский,(812) 424-17-73,нет,,sales@salutplus.ru,Посуточная и долгосрочная аренда в Санкт-Петербурге,"Бесплатный WiFi

Вся мебель

Парковка

Рядом с аэропортом

Уборка","59.831453,30.327681"
18537,NIHAO ST.PETERSBURG HOTEL,отель,96,200,"Санкт-Петербург, ул. Таллинская, д.11",Красногвардейский,88127758888.0,нет,www.nihaohotel.ru,info@nihaohotel.ru,"Уголок китайской Культуры
в Северной столице","почта
консьерж
конференц зал
трансфер","59.92396,30.414835"
18538,Сапфир/ Sapphire,отель,14,14,"Санкт-Петербург, ул. Садовая, д. 13-15/50 лит. А, кв. 24, кв. 27",Центральный,"88123120395, 88123120653",нет,www.sapphirehotel.ru,info@sapphirehotel.ru,"отель Сапфир расположен в самом сердце Санкт-Петербурга, на пересечении Невского проспекта и Садовой улицы. В пешей доступности располагаются всемирно известные достопримечательности: Зимний Дворец, Исаакиевский и Казанский соборы, Государственный Эрмитаж и Мариинский театр, Храм Спаса-на-Крови, Марсово поле и Летний сад. 

В непосредственной близости находятся основные транспортные артерии города - Московский, Витебский вокзал, станция метро Гостиный двор расположена напротив входа в отель.
Из окон отеля открывается вид на главную улицу города - Невский проспект. В шаговой доступности для прогулок исторические набережные рек Фонтанки, Мойки, канала Грибоедова, прекрасные экскурсии по рекам и каналам Санкт-Петербурга с выходом в акваторию Невы.","Проживание
Лифт
Семейные номера
Камера хранения багажа
Регистрация иностранных граждан - 200 руб.
Уборка и клининг
Ежедневная уборка номера
Чистка обуви
Питание
Завтрак входит в стоимость
Бизнес ланч
Ресторан
Интернет
Wi-Fi предоставляется на территории всего отеля бесплатно.
Транспорт
Трансфер от/до аэропорта (оплачивается отдельно)
Общие
Персонал говорит на нескольких языках - русский, английский
Круглосуточная стойка регистрации
Курение на всей территории запрещено","59.934898,30.335074"
18540,"ITALYANSKAYA, 29 / ""ИТАЛЬЯНСКАЯ, 29""",отель,8,16,"Санкт-Петербург, Итальянская улица, д. 29, лит. А, пом. 3-Н",Центральный,88123350546.0,нет,www.italy29.com,info@premier-deal.ru,"Отель находится в самом центре исторической части Санкт-Петербурга, в так называемом «Золотом треугольнике». Выйдя на прогулку Вы оказываетесь рядом со множеством главных достопримечательностей города – Храм Спаса на крови, Русский музей, Летний Сад, Михайловский замок, Манежная площадь и многое другое. А до главной улицы города – Невского проспекта – 2 минуты ходьбы.","Нашим дорогим гостям мы предлагаем широкий выбор дополнительных услуг. Вы всегда можете взбодриться чашкой вкусного кофе в гостевой зоне ресепшен, заказать стирку одежды, оформить трансфер и многое другое. Мы постараемся выполнить любую Вашу просьбу.","59.935547,30.339251"
18541,HOTEL BAGRATION/ ОТЕЛЬ БАГРАТИОН,отель,48,90,"Санкт-Петербург, Синопская набережная, д. 66, строение 2, строение 3",Центральный,89500355775.0,нет,www.bagrationhotel.com,gm@bagrationhotel.com,"Отель «Багратион» расположился в здании бывшего особняка князя Багратион-Грузинского на Синопской набережной, в тихом центре Петербурга вдали от многолюдной суеты с панорамными видами на Неву, Большеохтинский мост и мост Александра Невского.

В пешей доступности исторические достопримечательности Смольный собор, Александро-Невская лавра, Таврический сад и Таврический дворец.

Отель «Багратион» - это идеальный выбор для тех, кто хочет наслаждаться спокойным и комфортным отдыхом, при этом оставаясь в центре событий.","Wi-Fi предоставляется на территории всего отеля бесплатно

ПАРКОВКА
Бесплатная охраняемая парковка для гостей отеля
 
ДОМАШНИЕ ЖИВОТНЫЕ
По запросу
ПОДНОС БАГАЖА
Бесплатно

БИЗНЕС-ЦЕНТР
ПК, e-mail, отправка корреспонденции","59.936124,30.393797"
18542,HOTEL BAGRATION/ ОТЕЛЬ БАГРАТИОН,отель,40,76,"Санкт-Петербург, Синопская набережная, д. 66, строение 1",Центральный,89500355775.0,нет,www.bagrationhotel.com,gm@bagrationhotel.com,"тель «Багратион» находится в Центральном районе Санкт-Петербурга на набережной Невы, в деловом и политическом квартале города. В непосредственной близости расположены Смольный собор и Александро-Невская лавра, здание правительства Санкт-Петербурга и бизнес-центры Невская Ратуша, Синоп, Санкт-Петербург Плаза.

В пешеходной доступности от отеля находятся такие исторические объекты как Таврический сад и Таврический дворец, мемориальный дворец им. А.В. Суворова. Удобная транспортная доступность отеля позволяет добраться до главных достопримечательностей города за 20 минут.","Wi-Fi предоставляется на территории всего отеля бесплатно

ПАРКОВКА
Бесплатная охраняемая парковка для гостей отеля
 
ДОМАШНИЕ ЖИВОТНЫЕ
По запросу
ПОДНОС БАГАЖА
Бесплатно

БИЗНЕС-ЦЕНТР
ПК, e-mail, отправка корреспонденции","59.936124,30.393797"
18543,Old Flat на Некрасова,хостел,10,10,"Санкт-Петербург, ул. Некрасова, д.60 пом 56, 50",Центральный,88127178490.0,нет,http://oldflat-hotel.ru/,old_flat@mail.ru,"""Old Flat"" находится в историческом центре Санкт-Петербурга на улице Некрасова дом 60 помещение 56 (Греческий проспект дом 10) в 7-ми минутах ходьбы от Невского проспекта, Московского вокзала и станции метро площадь ""Восстания"". Хостел расположен в  районе с развитой инфраструктурой (магазины, кафе, бары, ночные клубы, кинотеатры) в шаговой доступности от достопримечательностей города (памятников архитектуры, музеев, парков)","Чай, кофе (растворимый)
Бытовая техника, предметы быта и гигиены: телевизоры (в номерах и на кухне),гостевой компьютер, домашний кинотеатр, стиральная машинка, сушка для белья, утюг, гладильная доска, фен, обогреватели, вентиляторы, чистое постельное белье и полотенца.
Удобная современная мебель в номерах: шкафы, вешалки для одежды, прикроватные тумбочки, журнальные столики, пластиковые боксы для хранения одежды, двухъярусные кровати с удобными матрацами, стол и кресло для работы с компьютером в холле.
Средства коммуникации: Wi-Fi (доступен во всех помещениях), городской телефон в холле (без междугородней связи).
Чистые номера и ванная комната с тремя душевыми кабинами, тремя раковинами, тремя туалетами. Уборка производится ежедневно.
Аптечка первой медицинской помощи.
Для хранения личным вещей: железные шкафы с ключами (в холле), тумбочки с ключами (в номерах) камера хранения, сейф (в холле).
Любезность и внимание персонала, помощь в заказе такси, авиа и ж/д билетов, а также билетов на различные культурно-массовые мероприятия.","59.938392,30.368402"
18544,Камара,апартаменты,6,0,"Санкт-Петербург, Конногвардейский б-р, д. 6, лит. А",Адмиралтейский,8 (965) 0803080,нет,https://www.kamapa.ru,kamapart@mail.ru,"Апарт-отель Камара расположен на первом этаже исторического здания ХVIII века, оборудован отдельным входом и предлагает своим гостям 6 оборудованных современными удобствами номеров, успешно сочетающих в себе спальню и кухонную зону.","Все апартаменты снабжены кондиционерами, телевизорами с плоским экраном, сейфами, холодильниками, феном, тапочками, мягкими махровыми полотенцами, туалетными принадлежностями и средствами для чистки одежды и обуви. В распоряжении гостей полностью укомплектованная посудой и чайным/кофейным набором индивидуальная кухня. В общественной зоне доступны гладильная доска, утюг, стиральная машина, микроволновая печь и пурифайер.","59.931837,30.294857"
18545,4-я Советская,Апарт-отель,18,0,"Санкт-Петербург, ул. 4-я Советская 8, лит А, пом 1-Н",Центральный,88124071072.0,нет,www.leohotels.ru,4sovet@leohotels.ru,НЕДОРОГИЕ АПАРТАМЕНТЫ С ХОРОШИМ ИНТЕРЬЕРОМ,"Постельное белье и полотенца
Фен
Утюг с гладильной доской
Сушилка для белья
Стиральная машина
Санузел
Оборудованная кухня
Принадлежности для приготовления и приема пищи, электроплита, электрочайник, микроволновка, холодильник
Wi-Fi интернет
ЖК телевизор","59.934366,30.36771"
18546,Avenue-Apart,Апарт-отель,211,211,"Санкт-Петербург, ул. Академика Павлова, дом 7А",Петроградский,88126001500.0,нет,https://avenue-apart.ru,reception@avenue-apart.ru,"AVENUE-APART -  новый апарт-отель бизнес класса в Петроградском районе Санкт-Петербурга.  AVENUE- APART это современные апартаменты с предоставлением гостиничного сервиса. Дизайн выполнен в скандинавском стиле, в двух цветовых гаммах. Комплекс апартаментов АВЕНЮ-АПАРТ - это комфорт, безопасность и качество",Бесплатный Wi-Fi Парковка Семейные номера Можно с питомцами Трансфер от/до аэропорта Номера для некурящих Бар,"59.977584,30.314413"
18547,B.K 15,Апарт-отель,5,5,"191186 Санкт-Петербург, ул. Большая Конюшенная 15, литера Б, помещение 5-Н",Центральный,88129113315.0,нет,https://bk15.ru/,info@bk15.ru,Лучшие апартаменты в Санкт-Петербурге!,"Чай
Сейф
Телевизор
Услуга будильника
Гостиничная косметика
Утюг, гладильная доска, фен
Постельное белье и полотенце
Капсульная кофемашина с капсулами на каждый день
Тапочки
Чайник и СВЧ
Стабильный Wi-Fi
Багажная комната
Ежедневная уборка
Стиральная машинка
Полностью оборудованная кухня","59.938915,30.322075"
18548,DLS,Апарт-отель,8,8,"Санкт-Петербург, Набережная Макарова д.60 стр.1",Василеостровский,89609455060.0,нет,нет,нет,В 2.5 км от центра Санкт-Петербурга по адресу Naberezhnaya Makarova 60 ждут гостей апартаменты Apart-Hotel DLS,"ресторан («шведский стол»), подача завтрака в номер, лифт в здании, ресепшен 24/7, высокоскоростной интернет. Курение на всей территории запрещено.
кондиционер, фен, мини-кухня, холодильник, рабочий стол, гладильные принадлежности, бесплатные туалетные принадлежности, микроволновая печь, стиральная машина, телевизор с плоским экраном, электрический чайник","59.956985,30.24191"
18549,SALT CITY/ YES CITY,Апарт-отель,9,18,"Санкт-Петербург, ул.Хошимина, д.16",Выборгский,89214054588.0,нет,нет,info@apartsaltcity.ru,"Апартаменты Apartaments Ye'S City предлагают отличное размещение в Санкт-Петербурге. Гостям доступны трансфер из аэропорта, обслуживание номеров и глажка.

Пискарёвское мемориальное кладбище находится в 7 км от апартаментов. Трамвайная остановка ""Елизаветинская улица"" находится в 500 метрах.

Все комнаты в этих апартаментах оборудованы кабельным телевидением с фильмами на заказ, сейфом, микроволновой печью, кладовой и DVD проигрывателем.","Бесплатный Wi-Fi
Парковка
Спортзал/Фитнес
SPA и уход за телом
Питание/Напитки
Курение запрещено
Домашние животные
Трансфер","60.053696,30.32486"
18550,VARIANT D13,Апарт-отель,5,5,"191002, Санкт-Петербург, ул. Достоевского, д. 13, кв. 20",Центральный,89500274017.0,нет,http://variantapart.ru/,info@domrabota.su,"СЕТЬ АПАРТАМЕНТОВ VARIANT В ЦЕНТРЕ САНКТ-ПЕТЕРБУРГА
VARIANT - Всегда Вариант!
Именно с таким девизом наша Сеть Апартаментов встречает своих проживающих и постоянно работает над повышением их комфорта.
Наши выгодные преимущества: центр Санкт-Петербурга, шаговая доступность до метро, а подчас и до главных достопримечательностей города, отчетные документы для бизнес-путешественников, проживание с животными, фотозоны для ваших прекрасных селфи, аренда самокатов и велосипедов, просторные апартаменты для семей с детьми.",Бесплатный Wi-Fi Можно с питомцами Трансфер от/до аэропорта Номера для некурящих Отопление Прачечная,"59.924605,30.348675"
18551,VARIANT K16,Апарт-отель,9,9,"Санкт-Петербург, ул. Киевская, д. 16, кв. 3",Московский,89500274017.0,нет,http://variantapart.ru/,info@domrabota.su,"СЕТЬ АПАРТАМЕНТОВ VARIANT В ЦЕНТРЕ САНКТ-ПЕТЕРБУРГА
VARIANT - Всегда Вариант!
Именно с таким девизом наша Сеть Апартаментов встречает своих проживающих и постоянно работает над повышением их комфорта.
Наши выгодные преимущества: центр Санкт-Петербурга, шаговая доступность до метро, а подчас и до главных достопримечательностей города, отчетные документы для бизнес-путешественников, проживание с животными, фотозоны для ваших прекрасных селфи, аренда самокатов и велосипедов, просторные апартаменты для семей с детьми.",Бесплатный Wi-Fi Можно с питомцами Трансфер от/до аэропорта Номера для некурящих Отопление Прачечная,"59.9033,30.326342"
18552,Yest`Comfort Apartment,Апарт-отель,8,16,"Санкт-Петербург, ул. Хошимина, д. 16",Выборгский,88124490781.0,нет,нет,fei.a.s@rambler.ru,"Апартаменты Comfort находятся в Санкт-Петербурге, в 12 км от стадиона «Петровский». К услугам гостей частная парковка на территории. Апартаменты оборудованы телевизором с плоским экраном и спутниковыми каналами",1 бассейн Бесплатный Wi-Fi Парковка Номера для некурящих Фитнес-центр Бар,"60.053696,30.32486"
18553,Грани,Апарт-отель,40,86,"Санкт-Петербург, улица Большая Зеленина, д. 24, литера А, помещение 98Н, 69Н, 38Н",Петроградский,8(812)5666636,нет,granihotel.ru,info@granihotel.ru,40 апартаментов с самым современным ремонтом и техникой,"ТВ
Чай
wi-fi
Трансфер
Услуга будильник
Чайник и СВЧ
Cтиральная машинка
Гостиничная косметика
Полностью оборудованная кухня
Постельное белье и полотенца
Утюг и гладильные принадлежности
Платная охраняемая парковка","59.963656,30.287077"
18554,Докланс Лайф/ Apart-Hotel Docklands Life,Апарт-отель,141,141,"Санкт-Петербург, наб. Макарова, д. 60, стр. 1, пом. 402Н",Василеостровский,88126371000.0,нет,нет,info@docklandsrent.ru,"Docklands - это новая комфортная среда, спроектированная в единой архитектурной концепции «Лофт», в духе индустриальных объектов двадцатого века.
Город в городе, с инфраструктурой и сервисами. Современные апарт-отель, бизнес-центр, насыщенная инфраструктура.","Обслуживание в номере
Парковка
Прачечная/Химчистка
Камера хранения/комната для багажа
Проживание с домашними животными
Звонок-напоминание
Номера для некурящих
Интернет и ТВ
Кабельное/спутниковое телевидение
WiFi в номерах","59.956985,30.24191"
18555,Елагин апарт,Апарт-отель,80,120,"197374, Санкт-Петербург, ул. Савушкина, д..104",Приморский,88123398983.0,нет,https://www.elagin-hotel.ru/,nik@uk-z.ru,"Апарт-отель ""Елагин апарт"" - это современный отель комфорт-класса, разместившийся на восьми этажах нового гостинично-офисного комплекса, отвечающего всем требованиям современной индустрии гостеприимства.

Апарт-отель ориентирован на гостей, ценящих высокий уровень сервиса. Уютные номера двух категорий, сочетающие современную функциональность с оригинальностью интерьеров, обеспечат гостей всем необходимым для комфортного отдыха. Всего гостям предлагается 62 номера категории «Стандарт» и 21 номер категории «Комфорт».","интернет, завтрак, визовая поддержка, заказ такси, печать документов","59.984044,30.249743"
18556,ОЛИПМ,Апарт-отель,4,8,"Санкт-Петербург, Большой пр. В.О., д.90, к. 2, лит. З",Василеостровский,931-308-32-36,нет,нет,olimp201790@yandex.ru,"Апарт-отель «ОЛИМП» удобно расположен в Василеостровском районе Санкт-Петербурга, в 1,3 км от выставочного комплекса «Ленэкспо», в 3,1 км от часовни Святого Кечена в Санкт-Петербурге и в 4,2 км от стадиона «Петровский». К услугам гостей семейные номера и терраса. К услугам гостей бесплатный Wi-Fi и частная парковка, места на которой предоставляются за дополнительную плату.",Бесплатный Wi-Fi Парковка Семейные номера Трансфер от/до аэропорта Номера для некурящих Круглосуточная стойка регистрации,"59.928803,30.249384"
18557,Оранжевое небо,апарт-отель,10,10,"Санкт-Петербург, Троицкий проспект 12, литера А, пом. 3-Н, 5-Н",Адмиралтейский,89215555486.0,нет,https://sky-orange.ru/,info@sky-orange.ru,Уютный апарт-отель в 100 метрах от Троицкого собора. Апартаменты оборудованы всем необходимым для комфортной жизни. Отличная звукоизоляция и дизайнерский ремонт,"Чай
Сейф
Телевизор
Услуга будильника
Гостиничная косметика
Утюг, гладильная доска, фен
Постельное белье и полотенце
Капсульная кофемашина с капсулами на каждый день
Тапочки
Чайник и СВЧ
Стабильный Wi-Fi
Багажная комната
Ежедневная уборка
Стиральная машинка
Полностью оборудованная кухня
Детское кресло. Манеж","59.915702,30.300049"
18558,Прайм на Марата,апарт-отель,8,0,"Санкт-Петербург, ул. Марата, 44 кв. 2",Центральный,89219890655.0,нет,https://prime-otel.ru/prime/prime-m44/,info@prime-otel.ru,"Прайм – новая и активно развивающаяся сеть недорогих гостевых домов и гостиницы в Санкт-Петербурге. Первые два гостевых дома были открыты в 2016 году, а в 2018 мы открыли полноценный отель.

Мы предлагаем нашим гостям оптимальное сочетание цены и качества. Мы находимся в самом центре Санкт-Петербурга в пешей доступности от метро, вокзалов, исторических достопримечательностей и деловых центров.","отдельная душевая со всеми удобствами, мини-кухня, 24-часовой сервис, цифровое телевидение, быстрый интернет, экспресс-офис (компьютер с доступом в интернет, возможность сканировать и распечатать документы).","59.924713,30.351828"
18559,ARTSTUDIO Nevsky,апарт-отель,40,80,"Санкт-Петербург, 2-я Советская, д. 4Б, стр. 1",Центральный,7 (812) 303-82-02,нет,www.bookapart.ru,reception.nevsky@bookapart.ru,"Комфортные апартаменты в центре города для любителей романтики, творческих личностей и бизнес-туристов.","Услуги личного ассистента для гостей, организация трансфера, завтраки, мини-офис, высокоскоростной Wi-Fi","59.932721,30.366389"
18560,Docklands,апарт-отель,37,74,"Санкт-Петербург, набережная Макарова, дом 60, строение 1  (27Н, 67Н, 80Н, 82Н, 95Н, 160Н-167Н, 135Н, 127Н, 170Н, 171Н, 147Н, 121Н, 168Н, 191Н, 105Н, 108Н, 213Н, 209Н, 212Н, 239Н, 242Н, 224Н, 227Н, 252Н, 255Н, 274Н, 266Н, 294Н, 357Н, 360Н.)",Василеостровский,88123325576.0,88123326774.0,www.docklands.rent,loft@docklands.ru,"У нас была мечта создать такой отель, в котором захочется задержаться, а после отъезда — вернуться еще не раз. Мы проанализировали гостиницы и апартаменты, в которых жили в путешествияхи деловых поездках сами, убрали все лишнее и добавили то, чего не хватало.

Так появился Docklands, не просто как коммерческий проект, а как идеальное место для каждого из нас.","Аренда электросамокатов
Круглосуточный ресепшн
Услуги консьержа
Ежедневная уборка
Room service
Услуги химчистки и прачечной
Вызов трансфера
Вызов такси
Аренда авто
Сезонный прокат велосипедов
Аренда парковочного места
Бронирование билетов","59.956985,30.24191"
